task,features,metric,mean,std
ESOL,CLMunsup,rmse,1.3327,0.1072
ESOL,fp+CLMunsup,rmse,1.2999,0.1288
ESOL,desc+CLMunsup,rmse,0.7309,0.0655
ESOL,fp+desc+CLMunsup,rmse,0.7244,0.0569
QM7,CLMunsup,rmse,203.9944,4.2668
QM7,fp+CLMunsup,rmse,203.2526,3.571
QM7,desc+CLMunsup,rmse,189.2498,5.1421
QM7,fp+desc+CLMunsup,rmse,188.173,4.5852
BBBP,CLMunsup,roc_auc,0.9472,0.0078
BBBP,CLMunsup,nef1,1.0,0.0
BBBP,fp+CLMunsup,roc_auc,0.9491,0.0058
BBBP,fp+CLMunsup,nef1,1.0,0.0
BBBP,desc+CLMunsup,roc_auc,0.9526,0.0076
BBBP,desc+CLMunsup,nef1,1.0,0.0
BBBP,fp+desc+CLMunsup,roc_auc,0.9512,0.0077
BBBP,fp+desc+CLMunsup,nef1,1.0,0.0
BACE,CLMunsup,roc_auc,0.8501,0.0337
BACE,CLMunsup,nef1,0.95,0.1
BACE,fp+CLMunsup,roc_auc,0.855,0.0293
BACE,fp+CLMunsup,nef1,0.9,0.1225
BACE,desc+CLMunsup,roc_auc,0.8691,0.0167
BACE,desc+CLMunsup,nef1,0.95,0.1
BACE,fp+desc+CLMunsup,roc_auc,0.8703,0.0126
BACE,fp+desc+CLMunsup,nef1,1.0,0.0
Tox21,CLMunsup,roc_auc,0.7723,0.0431
Tox21,CLMunsup,nef1,0.5424,0.1428
Tox21,fp+CLMunsup,roc_auc,0.7831,0.038
Tox21,fp+CLMunsup,nef1,0.6109,0.1261
Tox21,desc+CLMunsup,roc_auc,0.8004,0.0479
Tox21,desc+CLMunsup,nef1,0.6902,0.14
Tox21,fp+desc+CLMunsup,roc_auc,0.8048,0.0459
Tox21,fp+desc+CLMunsup,nef1,0.709,0.109
HIV,CLMunsup,roc_auc,0.7586,0.0329
HIV,CLMunsup,nef1,0.6458,0.0709
HIV,fp+CLMunsup,roc_auc,0.7894,0.0281
HIV,fp+CLMunsup,nef1,0.6819,0.0612
HIV,desc+CLMunsup,roc_auc,0.804,0.0281
HIV,desc+CLMunsup,nef1,0.7157,0.0497
HIV,fp+desc+CLMunsup,roc_auc,0.8035,0.0272
HIV,fp+desc+CLMunsup,nef1,0.6988,0.041
